group_label,support_count,n_total_customers,n_with_trait,churned_with_trait,churn_rate_with,churn_rate_with_wilson_lower,churn_rate_with_wilson_upper,n_without_trait,churned_without_trait,churn_rate_without,churn_rate_without_wilson_lower,churn_rate_without_wilson_upper,lift,note
sequence E -> B -> A,123,600,123,8,0.0650,0.0333,0.1231,477,198,0.4151,0.3717,0.4598,0.1567,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D -> C,143,600,143,9,0.0629,0.0335,0.1153,457,197,0.4311,0.3864,0.4769,0.1460,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B -> E,132,600,132,8,0.0606,0.0310,0.1150,468,198,0.4231,0.3791,0.4683,0.1433,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> E -> A,134,600,134,8,0.0597,0.0306,0.1134,466,198,0.4249,0.3808,0.4702,0.1405,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D -> E,150,600,150,8,0.0533,0.0273,0.1017,450,198,0.4400,0.3948,0.4862,0.1212,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> D -> A,136,600,136,7,0.0515,0.0252,0.1024,464,199,0.4289,0.3846,0.4743,0.1200,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A -> A,123,600,123,6,0.0488,0.0225,0.1023,477,200,0.4193,0.3758,0.4640,0.1163,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B -> D,140,600,140,6,0.0429,0.0198,0.0903,460,200,0.4348,0.3902,0.4804,0.0986,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> D -> A,141,600,141,6,0.0426,0.0196,0.0897,459,200,0.4357,0.3911,0.4814,0.0977,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B -> D,122,600,122,5,0.0410,0.0176,0.0924,478,201,0.4205,0.3771,0.4652,0.0975,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B -> E,143,600,143,6,0.0420,0.0194,0.0885,457,200,0.4376,0.3929,0.4835,0.0959,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> C -> A,114,600,114,4,0.0351,0.0137,0.0868,486,202,0.4156,0.3727,0.4599,0.0844,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B -> C,117,600,117,4,0.0342,0.0134,0.0846,483,202,0.4182,0.3750,0.4627,0.0817,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A -> D,118,600,118,4,0.0339,0.0133,0.0839,482,202,0.4191,0.3758,0.4636,0.0809,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence E -> A -> D,121,600,121,4,0.0331,0.0129,0.0819,479,202,0.4217,0.3783,0.4664,0.0784,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A -> B,123,600,123,4,0.0325,0.0127,0.0806,477,202,0.4235,0.3799,0.4683,0.0768,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> A -> C,123,600,123,4,0.0325,0.0127,0.0806,477,202,0.4235,0.3799,0.4683,0.0768,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B -> A,128,600,128,3,0.0234,0.0080,0.0666,472,203,0.4301,0.3862,0.4751,0.0545,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence C -> B -> A,132,600,132,3,0.0227,0.0078,0.0647,468,203,0.4338,0.3896,0.4790,0.0524,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
sequence D -> B -> C,138,600,138,3,0.0217,0.0074,0.0620,462,203,0.4394,0.3948,0.4850,0.0495,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
monetary bucket = high,200,600,200,4,0.0200,0.0078,0.0503,400,202,0.5050,0.4562,0.5537,0.0396,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
frequency bucket = high,200,600,200,0,0.0000,0.0000,0.0188,400,206,0.5150,0.4661,0.5636,0.0000,"Correlational only: co-occurrence in historical data, not a proven cause of churn. Confirm with a controlled experiment before acting."
